TIMESTAMP               | EVENTO             |    PID | ESTADO       |    CPU% |       MEM | ALGORITMO    |  QUANTUM | DETALLE
------------------------+--------------------+--------+--------------+---------+-----------+--------------+----------+-----------------------------
2025-09-08 00:12:30.427 | INICIO_SIMULACION  |      - | READY        |       - |         - | SJF          |        - | tickMs=500, probNuevo=0.35
2025-09-08 00:12:34.258 | IDLE               |      - | IDLE         |       - |         - | SJF          |        - | sin procesos listos
2025-09-08 00:12:34.758 | IDLE               |      - | IDLE         |       - |         - | SJF          |        - | sin procesos listos
2025-09-08 00:12:35.258 | IDLE               |      - | IDLE         |       - |         - | SJF          |        - | sin procesos listos
2025-09-08 00:12:35.768 | CREAR_PROCESO      |      1 | READY        |      0% |      24MB | SJF          |        - | rafaga=6, prioridad=5
2025-09-08 00:12:35.771 | CAMBIO_ESTADO      |      1 | READY        |      0% |      24MB | SJF          |        - | NEW→READY
2025-09-08 00:12:35.772 | CAMBIO_ESTADO      |      1 | RUNNING      |      0% |      24MB | SJF          |        - | READY→RUNNING
2025-09-08 00:12:35.773 | EJECUTAR_TICK      |      1 | RUNNING      |     30% |     296MB | SJF          |        - | rafagaRestante=5
2025-09-08 00:12:36.259 | EJECUTAR_TICK      |      1 | RUNNING      |     36% |     120MB | SJF          |        - | rafagaRestante=4
2025-09-08 00:12:36.759 | EJECUTAR_TICK      |      1 | RUNNING      |     29% |     402MB | SJF          |        - | rafagaRestante=3
2025-09-08 00:12:37.260 | CREAR_PROCESO      |      2 | READY        |      0% |     105MB | SJF          |        - | rafaga=11, prioridad=1
2025-09-08 00:12:37.262 | CAMBIO_ESTADO      |      2 | READY        |      0% |     105MB | SJF          |        - | NEW→READY
2025-09-08 00:12:37.263 | EJECUTAR_TICK      |      1 | RUNNING      |     80% |     243MB | SJF          |        - | rafagaRestante=2
2025-09-08 00:12:37.759 | CREAR_PROCESO      |      3 | READY        |      0% |     116MB | SJF          |        - | rafaga=11, prioridad=2
2025-09-08 00:12:37.760 | CAMBIO_ESTADO      |      3 | READY        |      0% |     116MB | SJF          |        - | NEW→READY
2025-09-08 00:12:37.762 | EJECUTAR_TICK      |      1 | RUNNING      |     90% |     122MB | SJF          |        - | rafagaRestante=1
2025-09-08 00:12:38.258 | CREAR_PROCESO      |      4 | READY        |      0% |      25MB | SJF          |        - | rafaga=10, prioridad=3
2025-09-08 00:12:38.260 | CAMBIO_ESTADO      |      4 | READY        |      0% |      25MB | SJF          |        - | NEW→READY
2025-09-08 00:12:38.261 | EJECUTAR_TICK      |      1 | RUNNING      |      0% |       0MB | SJF          |        - | rafagaRestante=0
2025-09-08 00:12:38.262 | CAMBIO_ESTADO      |      1 | TERMINATED   |      0% |       0MB | SJF          |        - | RUNNING→TERMINATED
2025-09-08 00:12:38.263 | TERMINAR_PROCESO   |      1 | TERMINATED   |      0% |       0MB | SJF          |        - | fin_natural
2025-09-08 00:12:38.760 | CAMBIO_ESTADO      |      4 | RUNNING      |      0% |      25MB | SJF          |        - | READY→RUNNING
2025-09-08 00:12:38.761 | EJECUTAR_TICK      |      4 | RUNNING      |     85% |     255MB | SJF          |        - | rafagaRestante=9
2025-09-08 00:12:39.260 | CREAR_PROCESO      |      5 | READY        |      0% |     197MB | SJF          |        - | rafaga=9, prioridad=4
2025-09-08 00:12:39.261 | CAMBIO_ESTADO      |      5 | READY        |      0% |     197MB | SJF          |        - | NEW→READY
2025-09-08 00:12:39.262 | EJECUTAR_TICK      |      4 | RUNNING      |     35% |      50MB | SJF          |        - | rafagaRestante=8
2025-09-08 00:12:39.759 | EJECUTAR_TICK      |      4 | RUNNING      |     16% |     396MB | SJF          |        - | rafagaRestante=7
2025-09-08 00:12:40.259 | CREAR_PROCESO      |      6 | READY        |      0% |     194MB | SJF          |        - | rafaga=7, prioridad=2
2025-09-08 00:12:40.260 | CAMBIO_ESTADO      |      6 | READY        |      0% |     194MB | SJF          |        - | NEW→READY
2025-09-08 00:12:40.262 | EJECUTAR_TICK      |      4 | RUNNING      |     44% |     219MB | SJF          |        - | rafagaRestante=6
2025-09-08 00:12:40.758 | CREAR_PROCESO      |      7 | READY        |      0% |      16MB | SJF          |        - | rafaga=6, prioridad=4
2025-09-08 00:12:40.760 | CAMBIO_ESTADO      |      7 | READY        |      0% |      16MB | SJF          |        - | NEW→READY
2025-09-08 00:12:40.761 | EJECUTAR_TICK      |      4 | RUNNING      |     92% |      23MB | SJF          |        - | rafagaRestante=5
2025-09-08 00:12:41.259 | EJECUTAR_TICK      |      4 | RUNNING      |     97% |     413MB | SJF          |        - | rafagaRestante=4
2025-09-08 00:12:41.758 | CREAR_PROCESO      |      8 | READY        |      0% |     176MB | SJF          |        - | rafaga=6, prioridad=3
2025-09-08 00:12:41.759 | CAMBIO_ESTADO      |      8 | READY        |      0% |     176MB | SJF          |        - | NEW→READY
2025-09-08 00:12:41.761 | EJECUTAR_TICK      |      4 | RUNNING      |     20% |      86MB | SJF          |        - | rafagaRestante=3
2025-09-08 00:12:42.258 | CREAR_PROCESO      |      9 | READY        |      0% |      15MB | SJF          |        - | rafaga=9, prioridad=4
2025-09-08 00:12:42.260 | CAMBIO_ESTADO      |      9 | READY        |      0% |      15MB | SJF          |        - | NEW→READY
2025-09-08 00:12:42.261 | EJECUTAR_TICK      |      4 | RUNNING      |     39% |     194MB | SJF          |        - | rafagaRestante=2
2025-09-08 00:12:42.758 | EJECUTAR_TICK      |      4 | RUNNING      |     65% |     368MB | SJF          |        - | rafagaRestante=1
2025-09-08 00:12:43.258 | EJECUTAR_TICK      |      4 | RUNNING      |      0% |       0MB | SJF          |        - | rafagaRestante=0
2025-09-08 00:12:43.259 | CAMBIO_ESTADO      |      4 | TERMINATED   |      0% |       0MB | SJF          |        - | RUNNING→TERMINATED
2025-09-08 00:12:43.260 | TERMINAR_PROCESO   |      4 | TERMINATED   |      0% |       0MB | SJF          |        - | fin_natural
2025-09-08 00:12:43.758 | CAMBIO_ESTADO      |      7 | RUNNING      |      0% |      16MB | SJF          |        - | READY→RUNNING
2025-09-08 00:12:43.759 | EJECUTAR_TICK      |      7 | RUNNING      |     95% |      21MB | SJF          |        - | rafagaRestante=5
2025-09-08 00:12:44.258 | CREAR_PROCESO      |     10 | READY        |      0% |     127MB | SJF          |        - | rafaga=6, prioridad=1
2025-09-08 00:12:44.259 | CAMBIO_ESTADO      |     10 | READY        |      0% |     127MB | SJF          |        - | NEW→READY
2025-09-08 00:12:44.260 | EJECUTAR_TICK      |      7 | RUNNING      |     90% |     425MB | SJF          |        - | rafagaRestante=4
2025-09-08 00:12:44.759 | EJECUTAR_TICK      |      7 | RUNNING      |     83% |     290MB | SJF          |        - | rafagaRestante=3
2025-09-08 00:12:45.258 | EJECUTAR_TICK      |      7 | RUNNING      |     61% |      54MB | SJF          |        - | rafagaRestante=2
2025-09-08 00:12:45.758 | EJECUTAR_TICK      |      7 | RUNNING      |     79% |     199MB | SJF          |        - | rafagaRestante=1
2025-09-08 00:12:46.259 | EJECUTAR_TICK      |      7 | RUNNING      |      0% |       0MB | SJF          |        - | rafagaRestante=0
