TIMESTAMP               | EVENTO             |    PID | ESTADO       |    CPU% |       MEM | ALGORITMO    |  QUANTUM | DETALLE
------------------------+--------------------+--------+--------------+---------+-----------+--------------+----------+-----------------------------
2025-09-17 00:33:20.714 | INICIO_SIMULACION  |      - | READY        |       - |         - | FCFS         |        - | tickMs=500, probNuevo=0.3
2025-09-17 00:33:22.676 | IDLE               |      - | IDLE         |       - |         - | FCFS         |        - | sin procesos listos
2025-09-17 00:33:23.176 | IDLE               |      - | IDLE         |       - |         - | FCFS         |        - | sin procesos listos
2025-09-17 00:33:23.677 | IDLE               |      - | IDLE         |       - |         - | FCFS         |        - | sin procesos listos
2025-09-17 00:33:24.176 | IDLE               |      - | IDLE         |       - |         - | FCFS         |        - | sin procesos listos
2025-09-17 00:33:24.685 | CREAR_PROCESO      |      1 | READY        |      0% |      93MB | FCFS         |        - | rafaga=7, prioridad=3
2025-09-17 00:33:24.686 | CAMBIO_ESTADO      |      1 | READY        |      0% |      93MB | FCFS         |        - | NEW→READY
2025-09-17 00:33:24.687 | CAMBIO_ESTADO      |      1 | RUNNING      |      0% |      93MB | FCFS         |        - | READY→RUNNING
2025-09-17 00:33:24.689 | EJECUTAR_TICK      |      1 | RUNNING      |     20% |     378MB | FCFS         |        - | rafagaRestante=6
2025-09-17 00:33:25.175 | EJECUTAR_TICK      |      1 | RUNNING      |     15% |     462MB | FCFS         |        - | rafagaRestante=5
2025-09-17 00:33:25.676 | CREAR_PROCESO      |      2 | READY        |      0% |     105MB | FCFS         |        - | rafaga=11, prioridad=1
2025-09-17 00:33:25.676 | CAMBIO_ESTADO      |      2 | READY        |      0% |     105MB | FCFS         |        - | NEW→READY
2025-09-17 00:33:25.677 | EJECUTAR_TICK      |      1 | RUNNING      |     38% |      58MB | FCFS         |        - | rafagaRestante=4
2025-09-17 00:33:26.176 | CREAR_PROCESO      |      3 | READY        |      0% |     116MB | FCFS         |        - | rafaga=11, prioridad=2
2025-09-17 00:33:26.179 | CAMBIO_ESTADO      |      3 | READY        |      0% |     116MB | FCFS         |        - | NEW→READY
2025-09-17 00:33:26.180 | EJECUTAR_TICK      |      1 | RUNNING      |     49% |     218MB | FCFS         |        - | rafagaRestante=3
2025-09-17 00:33:26.675 | EJECUTAR_TICK      |      1 | RUNNING      |     40% |     304MB | FCFS         |        - | rafagaRestante=2
2025-09-17 00:33:27.176 | EJECUTAR_TICK      |      1 | RUNNING      |     36% |     321MB | FCFS         |        - | rafagaRestante=1
2025-09-17 00:33:27.676 | EJECUTAR_TICK      |      1 | RUNNING      |      0% |       0MB | FCFS         |        - | rafagaRestante=0
2025-09-17 00:33:27.678 | CAMBIO_ESTADO      |      1 | TERMINATED   |      0% |       0MB | FCFS         |        - | RUNNING→TERMINATED
2025-09-17 00:33:27.679 | TERMINAR_PROCESO   |      1 | TERMINATED   |      0% |       0MB | FCFS         |        - | fin_natural
2025-09-17 00:33:28.175 | CAMBIO_ESTADO      |      2 | RUNNING      |      0% |     105MB | FCFS         |        - | READY→RUNNING
2025-09-17 00:33:28.176 | EJECUTAR_TICK      |      2 | RUNNING      |     44% |     142MB | FCFS         |        - | rafagaRestante=10
2025-09-17 00:33:28.675 | CREAR_PROCESO      |      4 | READY        |      0% |     197MB | FCFS         |        - | rafaga=9, prioridad=4
2025-09-17 00:33:28.676 | CAMBIO_ESTADO      |      4 | READY        |      0% |     197MB | FCFS         |        - | NEW→READY
2025-09-17 00:33:28.678 | EJECUTAR_TICK      |      2 | RUNNING      |     33% |      94MB | FCFS         |        - | rafagaRestante=9
2025-09-17 00:33:29.176 | EJECUTAR_TICK      |      2 | RUNNING      |     28% |     466MB | FCFS         |        - | rafagaRestante=8
2025-09-17 00:33:29.677 | CREAR_PROCESO      |      5 | READY        |      0% |     194MB | FCFS         |        - | rafaga=7, prioridad=2
2025-09-17 00:33:29.678 | CAMBIO_ESTADO      |      5 | READY        |      0% |     194MB | FCFS         |        - | NEW→READY
2025-09-17 00:33:29.679 | EJECUTAR_TICK      |      2 | RUNNING      |     82% |     175MB | FCFS         |        - | rafagaRestante=7
2025-09-17 00:33:29.889 | FIN_SIMULACION     |      - | -            |       - |         - | -            |        - | 
