pid,algoritmo,llegada,primera_ejec,fin,rafaga_total,ejecucion,espera,respuesta,turnaround
1,SJF,4,4,9,6,6,0,0,5
4,SJF,9,10,19,10,10,0,1,10
7,SJF,14,20,25,6,6,0,6,11
8,SJF,16,26,31,6,6,0,10,15
12,SJF,30,32,36,5,5,0,2,6
10,SJF,21,37,42,6,6,0,16,21
6,SJF,13,43,49,7,7,0,30,36
13,SJF,32,50,57,8,8,0,18,25
18,SJF,56,58,62,5,5,0,2,6
16,SJF,52,63,70,8,8,0,11,18
24,SJF,70,71,75,5,5,0,1,5
